Wallet_ID,Total_Transactions,Avg_Tx_Value,Incoming_Tx,Outgoing_Tx,Exchange_Interaction,Defi_Interaction,Suspicious_Flags,Wallet_Age,High_Risk_Label
WALLET_1,112,9077.51,660,523,90.32,70.7,2,2080,Yes
WALLET_2,445,2507.94,273,178,61.73,77.86,9,1195,Yes
WALLET_3,870,4115.62,374,657,98.05,14.31,12,405,No
WALLET_4,280,7560.4,640,172,60.81,20.45,4,2063,No
WALLET_5,116,2303.41,110,174,63.66,71.41,10,2401,No
WALLET_6,81,788.26,674,397,55.48,49.4,7,175,No
WALLET_7,710,2911.72,663,799,9.1,75.46,10,2011,No
WALLET_8,30,1628.99,661,638,72.64,10.29,3,322,No
WALLET_9,624,9298.38,124,198,54.74,53.65,0,461,No
WALLET_10,131,8085.04,791,521,45.09,37.88,10,734,No
WALLET_11,476,6341.37,608,33,91.05,45.7,6,2028,No
WALLET_12,224,8717.18,62,169,29.8,60.4,7,2662,Yes
WALLET_13,340,8040.65,350,426,52.36,50.23,2,428,No
WALLET_14,468,1881.97,745,343,69.76,53.99,5,2894,No
WALLET_15,97,8927.74,478,652,79.65,48.64,1,993,No
WALLET_16,382,5402.64,121,500,45.93,40.9,6,2264,Yes
WALLET_17,109,8078.25,795,369,84.21,77.19,14,2071,No
WALLET_18,881,8962.99,131,346,76.89,1.22,7,1858,No
WALLET_19,673,3193.67,397,504,6.62,59.84,5,2138,No
WALLET_20,140,1118.32,645,661,4.59,56.55,5,968,No
WALLET_21,671,2294.79,62,515,62.08,71.62,4,739,Yes
WALLET_22,318,4282.54,638,331,34.74,59.9,7,836,No
WALLET_23,779,8183.79,517,221,20.91,82.68,0,1493,No
WALLET_24,353,8610.09,755,305,57.96,95.91,9,1355,No
WALLET_25,501,89.38,100,136,34.16,34.25,3,40,No
WALLET_26,423,5117.26,642,74,53.73,22.74,14,1115,No
WALLET_27,815,4185.76,122,256,46.01,42.36,3,1898,No
WALLET_28,395,2236.64,564,419,58.48,28.79,2,2303,No
WALLET_29,201,1216.26,605,791,40.03,61.5,2,2641,No
WALLET_30,965,3389.4,492,449,69.77,91.19,3,801,No
WALLET_31,286,9430.24,241,186,18.01,13.91,10,1624,No
WALLET_32,170,3245.57,276,171,69.65,10.08,0,1637,No
WALLET_33,469,5197.53,193,95,41.17,25.6,13,1363,Yes
WALLET_34,323,7036.13,708,718,87.43,72.61,10,914,No
WALLET_35,31,3649.02,451,535,51.52,59.3,12,1419,No
WALLET_36,262,9718.39,585,43,97.31,10.22,10,255,No
WALLET_37,757,9625.22,794,130,60.19,91.88,1,854,No
WALLET_38,866,2532.79,251,455,22.38,79.01,8,2295,No
WALLET_39,570,4982.54,80,177,82.18,2.3,9,966,Yes
WALLET_40,484,3022.77,158,657,34.51,65.14,1,2830,No
WALLET_41,68,2862.71,660,758,34.76,77.12,4,2583,No
WALLET_42,520,388.13,439,224,3.18,37.44,8,2336,No
WALLET_43,691,6103.45,90,642,54.87,6.89,8,1941,No
WALLET_44,485,5036.74,701,62,53.44,7.73,7,1826,No
WALLET_45,709,533.76,289,664,35.6,10.42,0,83,No
WALLET_46,985,2800.89,224,480,89.42,84.04,0,756,Yes
WALLET_47,792,9084.49,73,460,12.87,91.07,8,2766,Yes
WALLET_48,199,2410.83,51,365,33.01,12.28,12,1574,No
WALLET_49,967,1466.05,98,5,32.16,23.59,10,1073,No
WALLET_50,696,4904.74,754,391,9.23,16.55,7,1943,No
WALLET_51,967,9856.79,457,352,48.11,18.63,9,1806,No
WALLET_52,572,2435.71,208,194,68.78,83.75,8,1626,Yes
WALLET_53,885,6727.91,222,509,51.17,33.21,6,1944,Yes
WALLET_54,576,7620.96,478,195,15.7,31.14,2,2496,No
WALLET_55,253,2391.62,436,512,37.73,22.74,2,2767,No
WALLET_56,841,7287.6,345,373,0.26,60.79,1,879,No
WALLET_57,514,3690.48,555,413,86.83,37.93,4,2139,No
WALLET_58,140,6330.41,616,121,8.45,74.42,11,2293,Yes
WALLET_59,494,6342.63,293,138,59.73,20.56,11,32,No
WALLET_60,828,5367.03,258,62,98.63,78.78,2,189,No
WALLET_61,656,921.09,738,560,53.66,60.37,13,810,No
WALLET_62,30,8356.32,361,689,92.4,11.43,5,922,No
WALLET_63,850,3221.39,27,676,23.61,41.45,1,2060,No
WALLET_64,176,1881.45,766,177,76.0,86.35,11,2406,Yes
WALLET_65,283,426.94,526,153,53.13,92.3,2,609,Yes
WALLET_66,397,5917.11,762,84,72.05,46.57,4,1963,No
WALLET_67,610,6782.09,104,217,6.23,48.08,11,1410,No
WALLET_68,325,185.55,184,207,14.77,91.85,10,1320,No
WALLET_69,23,5130.69,227,768,13.31,58.71,10,1670,No
WALLET_70,251,2280.43,766,233,68.72,3.28,0,981,No
WALLET_71,786,6458.82,663,680,84.44,91.27,12,2712,No
WALLET_72,355,1760.18,446,231,74.96,24.82,0,1017,No
WALLET_73,574,6915.56,612,663,3.05,57.76,9,1248,Yes
WALLET_74,907,3879.62,773,536,86.72,16.55,8,950,No
WALLET_75,349,9368.57,329,445,35.41,3.39,6,2815,Yes
WALLET_76,101,1392.46,520,406,39.72,31.15,0,1385,No
WALLET_77,376,3423.84,20,51,10.49,78.05,14,199,No
WALLET_78,965,1152.47,796,237,73.74,27.76,11,550,Yes
WALLET_79,464,9248.44,340,309,18.23,22.01,13,1516,No
WALLET_80,437,8775.85,763,530,56.4,21.27,7,69,No
WALLET_81,518,2594.26,262,147,84.07,51.52,2,1590,No
WALLET_82,785,6606.64,501,419,8.92,97.55,7,1448,No
WALLET_83,952,8175.88,164,517,53.53,45.9,14,984,Yes
WALLET_84,44,5560.9,479,377,23.32,55.73,4,1013,No
WALLET_85,215,5305.91,668,570,34.29,86.06,0,1004,No
WALLET_86,90,2433.69,694,263,47.4,53.51,6,67,Yes
WALLET_87,941,949.17,679,660,35.51,18.45,4,2405,No
WALLET_88,571,8974.21,384,475,64.88,29.96,5,1304,Yes
WALLET_89,881,9006.17,549,16,47.96,30.99,5,1229,Yes
WALLET_90,397,6338.35,695,334,58.42,39.73,7,1655,No
WALLET_91,11,3403.52,431,740,73.68,42.68,8,943,Yes
WALLET_92,399,3505.11,617,788,55.77,79.98,1,483,No
WALLET_93,575,7265.04,272,362,58.65,34.94,8,66,No
